name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Athens,GR",2022-02-05,14.7,0.7,7.9,14.7,-0.6,7.8,3.5,75.1,0,0,0,,0,0,16.2,10.5,27.5,1019.9,31.2,10,145,12.5,6,10,2022-02-05T07:26:04,2022-02-05T17:52:33,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-06,15.6,6.3,10.4,15.6,6.3,10.2,5.7,74,0,0,0,,0,0,29.3,17.5,47.7,1022.7,36.5,10,141.7,12.3,6,10,2022-02-06T07:25:05,2022-02-06T17:53:41,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-07,17.9,6.3,12.1,17.9,5.6,12,7.2,73.5,0,0,0,rain,0,0,36.7,22.9,217.2,1014.4,40,10,115.3,10.1,5,10,2022-02-07T07:24:05,2022-02-07T17:54:48,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-08,13.7,5.7,8.3,13.7,0.9,5.7,1.9,64.3,0.333,100,12.5,"rain,snow",0,0.1,74.9,30.4,314.8,1010.7,62.2,9.7,60.1,5.3,4,10,2022-02-08T07:23:04,2022-02-08T17:55:55,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-09,12.3,5.8,8.6,12.3,1.6,6.5,-1.8,48.7,0.472,100,8.33,rain,0,0.1,58.3,32.2,336.4,1023.6,27.5,10,159.5,14.1,6,10,2022-02-09T07:22:01,2022-02-09T17:57:02,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-10,14.3,5,9.6,14.3,3.4,8.8,2.3,61.6,0,0,0,,0,0,34.5,22.3,3.6,1027.5,34.7,10,142.5,12.7,7,10,2022-02-10T07:20:57,2022-02-10T17:58:09,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-11,16.4,2.3,9.5,16.4,0.4,9,2.7,63.9,0,0,0,,0,0,19.4,13,28.3,1024.6,15.6,10,169.3,14.9,6,10,2022-02-11T07:19:52,2022-02-11T17:59:15,0.38,Clear,Clear conditions throughout the day.,clear-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-12,16,3.3,10.2,16,3.3,10.1,5.8,75.1,0,0,0,rain,0,0,23,9.3,48.9,1024.6,44.8,10,95.2,8.4,4,10,2022-02-12T07:18:45,2022-02-12T18:00:21,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,F5422,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-13,12,8.3,10.4,12,6.6,10,5.6,72.2,0.091,100,4.17,rain,0,0,50,25,355.6,1025.2,69.6,9.9,50.3,4.3,3,10,2022-02-13T07:17:37,2022-02-13T18:01:27,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-14,12.3,5,8.9,12.3,3.7,8.5,3.4,69.8,0,0,0,,0,0,27,14.1,2,1024.5,38.5,10,131.9,11.5,6,10,2022-02-14T07:16:28,2022-02-14T18:02:33,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
